kadis,kadid-10k,sim_value_kadid-10k,tid2013,sim_value_tid2013,csiq,sim_value_csiq,pipal,sim_value_pipal
121-cc-774921.png,I81.png,0.6857353448867798,I25.bmp,0.656508207321167,veggies.png,0.646298885345459,A0026.bmp,0.7140671014785767
19-199047.png,I16.png,0.8510584235191345,I13.BMP,0.7971511483192444,lake.png,0.7587575316429138,A0151.bmp,0.8332009315490723
2016-1447856.png,I45.png,0.7525125741958618,I18.BMP,0.6986486315727234,veggies.png,0.7709997892379761,A0055.bmp,0.7594630718231201
2016-1447950.png,I35.png,0.7730436325073242,I03.BMP,0.7082117795944214,veggies.png,0.7292507886886597,A0208.bmp,0.7567314505577087
2016-1483462.png,I69.png,0.6644828915596008,I20.BMP,0.6709147691726685,sunsetcolor.png,0.6440897583961487,A0058.bmp,0.643693208694458
25-april-bridge-349137.png,I10.png,0.7836516499519348,I16.BMP,0.7532184720039368,aerial_city.png,0.8002501726150513,A0141.bmp,0.7910372614860535
3d-anaglyph-738967.png,I63.png,0.7706782817840576,I11.BMP,0.7345315217971802,woman.png,0.7311514616012573,A0069.bmp,0.7198720574378967
4-leaves-1039818.png,I60.png,0.7750539779663086,I07.BMP,0.7277151942253113,butter_flower.png,0.6701459884643555,A0001.bmp,0.7086111307144165
400500-1333884.png,I60.png,0.8259196281433105,I07.BMP,0.7619911432266235,butter_flower.png,0.7344893217086792,A0044.bmp,0.7721542119979858
400500-1343636.png,I08.png,0.7863936424255371,I07.BMP,0.8052972555160522,butter_flower.png,0.7064180374145508,A0044.bmp,0.8088245391845703
400500-1402826.png,I60.png,0.8306180238723755,I07.BMP,0.7725067138671875,butter_flower.png,0.7654311060905457,A0001.bmp,0.8186517953872681
400500-1402827.png,I60.png,0.8161259293556213,I17.BMP,0.7013868689537048,butter_flower.png,0.7628426551818848,A0001.bmp,0.7811928987503052
400500-1470887.png,I77.png,0.8293957114219666,I07.BMP,0.772646963596344,butter_flower.png,0.7702476978302002,A0044.bmp,0.7876057624816895
6-1238605.png,I23.png,0.6784204244613647,I03.BMP,0.6542803049087524,cactus.png,0.6580466032028198,A0014.bmp,0.6992306113243103
a-10-thunderbolt-1708096.png,I16.png,0.800940752029419,I14.BMP,0.7390860319137573,aerial_city.png,0.75501948595047,A0034.bmp,0.7565457224845886
a-1582554.png,I68.png,0.846603274345398,I06.BMP,0.8261268734931946,fisher.png,0.7837915420532227,A0151.bmp,0.8004187941551208
a-bluish-purple-flower-754106.png,I60.png,0.8726939558982849,I07.BMP,0.7414354681968689,butter_flower.png,0.7273558974266052,A0001.bmp,0.7545310258865356
a-cake-1174970.png,I47.png,0.7115575671195984,I17.BMP,0.6951038241386414,veggies.png,0.6887881755828857,A0001.bmp,0.7231269478797913
a-cake-1595876.png,I35.png,0.7105664014816284,I17.BMP,0.6877092123031616,veggies.png,0.6973319053649902,A0001.bmp,0.716823935508728
a-canal-boat-1538583.png,I32.png,0.7763959169387817,I17.BMP,0.7555226683616638,1600.png,0.7747844457626343,A0057.bmp,0.7652323842048645
a-canal-boat-1538584.png,I33.png,0.7712605595588684,I19.BMP,0.7320135235786438,1600.png,0.796378493309021,A0230.bmp,0.767741858959198
a-cat-789470.png,I31.png,0.7145431637763977,I17.BMP,0.6740078926086426,veggies.png,0.6959578990936279,A0007.bmp,0.7326506972312927
a-cup-of-1544658.png,I45.png,0.7279306054115295,I18.BMP,0.680721640586853,couple.png,0.6796090602874756,A0039.bmp,0.6542609930038452
a-cup-of-coffee-399478.png,I35.png,0.643503725528717,I25.bmp,0.6746654510498047,veggies.png,0.5952612161636353,A0001.bmp,0.6255699992179871
a-delicacy-322722.png,I48.png,0.7257282733917236,I17.BMP,0.6180521249771118,rushmore.png,0.6105446219444275,A0182.bmp,0.646454393863678
a-drop-of-1741479.png,I19.png,0.7766716480255127,I07.BMP,0.7315206527709961,butter_flower.png,0.7095621824264526,A0001.bmp,0.7233463525772095
a-drop-of-187904.png,I06.png,0.6917563676834106,I17.BMP,0.6399351954460144,cactus.png,0.6573481559753418,A0118.bmp,0.6842488050460815
a-drop-of-189194.png,I60.png,0.8064742088317871,I07.BMP,0.690593421459198,butter_flower.png,0.7472249865531921,A0001.bmp,0.7219638228416443
a-female-deer-600141.png,I57.png,0.7440235614776611,I18.BMP,0.7123036980628967,elk.png,0.8302667737007141,A0212.bmp,0.7057411670684814
a-fleshy-plant-1464418.png,I08.png,0.7757120132446289,I17.BMP,0.669171929359436,shroom.png,0.7334729433059692,A0064.bmp,0.6758859157562256
a-fleshy-plant-1465051.png,I46.png,0.7775920033454895,I07.BMP,0.6025028824806213,veggies.png,0.6641454100608826,A0145.bmp,0.651928722858429
a-fleshy-plant-734913.png,I60.png,0.7362549304962158,I07.BMP,0.5782791972160339,cactus.png,0.6513212323188782,A0103.bmp,0.6918891668319702
a-flower-of-a-parsley-878817.png,I77.png,0.7900146245956421,I07.BMP,0.7195966243743896,butter_flower.png,0.8319260478019714,A0051.bmp,0.7662996053695679
a-flower-of-the-field-326419.png,I77.png,0.8321706056594849,I07.BMP,0.778344988822937,butter_flower.png,0.7617405652999878,A0044.bmp,0.7995052337646484
a-girl-in-a-long-dress-1373890.png,I75.png,0.7045170068740845,I18.BMP,0.6781635284423828,lady_liberty.png,0.7132116556167603,A0006.bmp,0.7600870728492737
a-guarda-1007499.png,I54.png,0.8098205327987671,I13.BMP,0.7708878517150879,lake.png,0.7484054565429688,A0151.bmp,0.777786910533905
a-guarda-116962.png,I16.png,0.800481379032135,I16.BMP,0.7506630420684814,log_seaside.png,0.734184205532074,A0150.bmp,0.7664666175842285
a-jetty-610152.png,I11.png,0.8158012628555298,I06.BMP,0.7896434664726257,aerial_city.png,0.7503634095191956,A0151.bmp,0.7625823020935059
a-lot-1168213.png,I46.png,0.7045338749885559,I18.BMP,0.7214251756668091,shroom.png,0.7802065014839172,A0064.bmp,0.7118538618087769
a-lot-of-red-1487394.png,I60.png,0.7966030836105347,I07.BMP,0.7182173132896423,butter_flower.png,0.7332116365432739,A0001.bmp,0.8129286766052246
a-m-1119158.png,I21.png,0.8101629614830017,I08.BMP,0.8686229586601257,1600.png,0.8165547251701355,A0149.bmp,0.8057313561439514
a-m-1119161.png,I46.png,0.6983740925788879,I17.BMP,0.6471823453903198,shroom.png,0.6228828430175781,A0038.bmp,0.6695085763931274
a-nice-way-1059889.png,I12.png,0.7729966044425964,I13.BMP,0.7969333529472351,1600.png,0.7627791166305542,A0193.bmp,0.7682993412017822
a-pint-1174214.png,I07.png,0.6916038393974304,I20.BMP,0.6179332137107849,roping.png,0.6306144595146179,A0118.bmp,0.7430093288421631
a-rainy-day-636089.png,I43.png,0.6803416013717651,I25.bmp,0.6373356580734253,cactus.png,0.6623970866203308,A0070.bmp,0.6883785724639893
